Accuracy,Precision,Recall,F1,Specificity,AUC,Classifier,N_Genes,CV_Score,Best_Params
0.9607843137254902,0.96,0.96,0.96,0.9615384615384616,0.9896153846153847,SVM,256,0.9562841530054644,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}"
0.9705882352941176,1.0,0.94,0.9690721649484536,1.0,0.9853846153846153,KNN,256,0.9540983606557377,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
0.9509803921568627,0.9591836734693877,0.94,0.9494949494949495,0.9615384615384616,0.9642307692307692,Decision Tree,256,0.9311475409836065,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}"
0.9607843137254902,0.96,0.96,0.96,0.9615384615384616,0.99,Random Forest,256,0.9562841530054647,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
0.9803921568627451,1.0,0.96,0.9795918367346939,1.0,0.9892307692307691,Naive Bayes,256,0.9497267759562842,{'var_smoothing': 1e-09}
0.9607843137254902,0.96,0.96,0.96,0.9615384615384616,0.988076923076923,SVM,512,0.9584699453551911,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
0.9509803921568627,0.9787234042553191,0.92,0.9484536082474226,0.9807692307692307,0.98,KNN,512,0.9497267759562842,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
0.9607843137254902,0.9423076923076923,0.98,0.9607843137254902,0.9423076923076923,0.9601923076923076,Decision Tree,512,0.937704918032787,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}"
0.9607843137254902,0.9791666666666666,0.94,0.9591836734693877,0.9807692307692307,0.9884615384615384,Random Forest,512,0.9530054644808743,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0.9705882352941176,1.0,0.94,0.9690721649484536,1.0,0.9911538461538462,Naive Bayes,512,0.9497267759562842,{'var_smoothing': 1e-09}
0.9705882352941176,0.9795918367346939,0.96,0.9696969696969697,0.9807692307692307,0.9853846153846153,SVM,1024,0.9562841530054644,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
0.9705882352941176,1.0,0.94,0.9690721649484536,1.0,0.9838461538461538,KNN,1024,0.9519125683060109,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
0.9411764705882353,0.9074074074074074,0.98,0.9423076923076923,0.9038461538461539,0.9669230769230769,Decision Tree,1024,0.9300546448087431,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}"
0.9705882352941176,0.9795918367346939,0.96,0.9696969696969697,0.9807692307692307,0.9873076923076923,Random Forest,1024,0.9540983606557377,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
0.9607843137254902,0.9791666666666666,0.94,0.9591836734693877,0.9807692307692307,0.9755769230769231,Naive Bayes,1024,0.9453551912568307,{'var_smoothing': 1e-09}
