Classifier,N_Genes,Accuracy,Precision,Recall,F1,AUC,CV_Score
SVM,256,0.9357798165137615,0.989010989010989,0.9375,0.9625668449197861,0.9647435897435898,0.938270565958342
KNN,256,0.9357798165137615,0.978494623655914,0.9479166666666666,0.9629629629629629,0.9399038461538463,0.9362402693035978
Naive Bayes,256,0.9174311926605505,1.0,0.90625,0.9508196721311475,0.983974358974359,0.9259520302966548
Decision Tree,256,0.8899082568807339,0.9666666666666667,0.90625,0.9354838709677419,0.8377403846153846,0.908531453818641
SVM,512,0.944954128440367,0.9891304347826086,0.9479166666666666,0.9680851063829787,0.9663461538461539,0.9392909741216074
KNN,512,0.944954128440367,0.9891304347826086,0.9479166666666666,0.9680851063829787,0.9767628205128206,0.9382916053019146
Naive Bayes,512,0.908256880733945,1.0,0.8958333333333334,0.945054945054945,0.9779647435897436,0.9280033662949716
Decision Tree,512,0.8532110091743119,0.9444444444444444,0.8854166666666666,0.9139784946236559,0.750400641025641,0.9054071112981277
SVM,1024,0.944954128440367,0.9891304347826086,0.9479166666666666,0.9680851063829787,0.9711538461538461,0.9413528297917105
KNN,1024,0.9541284403669725,0.989247311827957,0.9583333333333334,0.9735449735449735,0.9475160256410258,0.9372501577950768
Naive Bayes,1024,0.908256880733945,1.0,0.8958333333333334,0.945054945054945,0.9711538461538461,0.9310961498001262
Decision Tree,1024,0.8990825688073395,0.967032967032967,0.9166666666666666,0.9411764705882353,0.8429487179487177,0.9043341047759311
SVM,2048,0.944954128440367,0.9891304347826086,0.9479166666666666,0.9680851063829787,0.9727564102564101,0.9403324216284451
KNN,2048,0.963302752293578,0.9893617021276596,0.96875,0.9789473684210527,0.9419070512820511,0.9382810856301284
Naive Bayes,2048,0.908256880733945,1.0,0.8958333333333334,0.945054945054945,0.9635416666666667,0.930075741636861
Decision Tree,2048,0.8899082568807339,0.9666666666666667,0.90625,0.9354838709677419,0.8377403846153846,0.9012728802861352
SVM,4096,0.944954128440367,0.9891304347826086,0.9479166666666666,0.9680851063829787,0.9719551282051282,0.9413423101199243
KNN,4096,0.963302752293578,0.9893617021276596,0.96875,0.9789473684210527,0.9491185897435898,0.9341784136334947
Naive Bayes,4096,0.908256880733945,1.0,0.8958333333333334,0.945054945054945,0.9583333333333333,0.9311066694719126
Decision Tree,4096,0.8899082568807339,0.9468085106382979,0.9270833333333334,0.9368421052631579,0.7712339743589745,0.897149168945929
